Processing generation 347000; best fitness = 1.2058487569
Processing generation 348000; best fitness = 1.20590214503
Processing generation 349000; best fitness = 1.20598457073
Processing generation 350000; best fitness = 1.20642457307
Processing generation 351000; best fitness = 1.20652590639
Processing generation 352000; best fitness = 1.20652590639
Processing generation 353000; best fitness = 1.20667801222
Processing generation 354000; best fitness = 1.20679297047
Processing generation 355000; best fitness = 1.20699818735
Processing generation 356000; best fitness = 1.2070292666
Processing generation 357000; best fitness = 1.20703907364
Processing generation 358000; best fitness = 1.20718773889
Processing generation 359000; best fitness = 1.20719769649
Processing generation 360000; best fitness = 1.20719769649
Processing generation 361000; best fitness = 1.20720741855
Processing generation 362000; best fitness = 1.20727045724
Processing generation 363000; best fitness = 1.20753820583
Processing generation 364000; best fitness = 1.20763865633
Processing generation 365000; best fitness = 1.20763865633
Processing generation 366000; best fitness = 1.20780001747
Processing generation 367000; best fitness = 1.20781417172
Processing generation 368000; best fitness = 1.20782496256
Processing generation 369000; best fitness = 1.20783666445
Processing generation 370000; best fitness = 1.20784527149
Processing generation 371000; best fitness = 1.20786903545
Processing generation 372000; best fitness = 1.20786903545
Processing generation 373000; best fitness = 1.20793366846
Processing generation 374000; best fitness = 1.20802114287
Processing generation 375000; best fitness = 1.20871025782
Processing generation 376000; best fitness = 1.20893449722
Processing generation 377000; best fitness = 1.20932068376
Processing generation 378000; best fitness = 1.20934811476
Processing generation 379000; best fitness = 1.21034628249
Processing generation 380000; best fitness = 1.21086741059
Processing generation 381000; best fitness = 1.21099071079
Processing generation 382000; best fitness = 1.21118887439
Processing generation 383000; best fitness = 1.2120600748
Processing generation 384000; best fitness = 1.21207960275
Processing generation 385000; best fitness = 1.21217314082
Processing generation 386000; best fitness = 1.21219113434
Processing generation 387000; best fitness = 1.21220136367
Processing generation 388000; best fitness = 1.21231478443
Processing generation 389000; best fitness = 1.21249704567
Processing generation 390000; best fitness = 1.2137063426
Processing generation 391000; best fitness = 1.21372528857
Processing generation 392000; best fitness = 1.21377764346
Processing generation 393000; best fitness = 1.21381293907
Processing generation 394000; best fitness = 1.21391355377
Processing generation 395000; best fitness = 1.21415039807
Processing generation 396000; best fitness = 1.21418152069
Processing generation 397000; best fitness = 1.21427901785
Processing generation 398000; best fitness = 1.21481695949
Processing generation 399000; best fitness = 1.21486122174
Processing generation 400000; best fitness = 1.2150296637
Processing generation 401000; best fitness = 1.21545668838
Processing generation 402000; best fitness = 1.2154789426
Processing generation 403000; best fitness = 1.2154789426
Processing generation 404000; best fitness = 1.21572915286
Processing generation 405000; best fitness = 1.2157944706
Processing generation 406000; best fitness = 1.21589825294
Processing generation 407000; best fitness = 1.2160890178
Processing generation 408000; best fitness = 1.21613626303
Processing generation 409000; best fitness = 1.2166865309
Processing generation 410000; best fitness = 1.21683872928
Processing generation 411000; best fitness = 1.21691624044
Processing generation 412000; best fitness = 1.2169713828
Processing generation 413000; best fitness = 1.21700236638
Processing generation 414000; best fitness = 1.21705849848
Processing generation 415000; best fitness = 1.21730509925
Processing generation 416000; best fitness = 1.21742647376
Processing generation 417000; best fitness = 1.21797311565
Processing generation 418000; best fitness = 1.21797311565
Processing generation 419000; best fitness = 1.21818060351
Processing generation 420000; best fitness = 1.21818294801
Processing generation 421000; best fitness = 1.21823074494
Processing generation 422000; best fitness = 1.21834101844
Processing generation 423000; best fitness = 1.21851697294
Processing generation 424000; best fitness = 1.21852159664
Processing generation 425000; best fitness = 1.21857466388
Processing generation 426000; best fitness = 1.21862036216
Processing generation 427000; best fitness = 1.21864867374
Processing generation 428000; best fitness = 1.21904203139
Processing generation 429000; best fitness = 1.21930379286
Processing generation 430000; best fitness = 1.21934305729
Processing generation 431000; best fitness = 1.21943274009
Processing generation 432000; best fitness = 1.21943274009
Processing generation 433000; best fitness = 1.21953095037
Processing generation 434000; best fitness = 1.21967527024
Processing generation 435000; best fitness = 1.2197419612
Processing generation 436000; best fitness = 1.21992708965
Processing generation 437000; best fitness = 1.21997661012
Processing generation 438000; best fitness = 1.22017419626
