Processing generation 237000; best fitness = 1.25264063987
Processing generation 238000; best fitness = 1.25289302398
Processing generation 239000; best fitness = 1.25301087259
Processing generation 240000; best fitness = 1.25325812294
Processing generation 241000; best fitness = 1.25336595816
Processing generation 242000; best fitness = 1.25339473887
Processing generation 243000; best fitness = 1.25344306652
Processing generation 244000; best fitness = 1.25353423072
Processing generation 245000; best fitness = 1.25360754106
Processing generation 246000; best fitness = 1.2536262714
Processing generation 247000; best fitness = 1.25367769665
Processing generation 248000; best fitness = 1.25372692783
Processing generation 249000; best fitness = 1.25378784463
Processing generation 250000; best fitness = 1.25415673741
Processing generation 251000; best fitness = 1.2545929066
Processing generation 252000; best fitness = 1.25461951976
Processing generation 253000; best fitness = 1.25470953566
Processing generation 254000; best fitness = 1.25475183013
Processing generation 255000; best fitness = 1.25484251453
Processing generation 256000; best fitness = 1.25494306999
Processing generation 257000; best fitness = 1.25508065982
Processing generation 258000; best fitness = 1.25512403882
Processing generation 259000; best fitness = 1.25540629571
Processing generation 260000; best fitness = 1.25542032432
Processing generation 261000; best fitness = 1.25560311404
Processing generation 262000; best fitness = 1.25593065741
Processing generation 263000; best fitness = 1.25607955973
Processing generation 264000; best fitness = 1.25637524275
Processing generation 265000; best fitness = 1.25654679412
Processing generation 266000; best fitness = 1.25658417375
Processing generation 267000; best fitness = 1.25669134303
Processing generation 268000; best fitness = 1.25686858658
Processing generation 269000; best fitness = 1.25699289403
Processing generation 270000; best fitness = 1.25709680786
Processing generation 271000; best fitness = 1.25714601227
Processing generation 272000; best fitness = 1.25732745167
Processing generation 273000; best fitness = 1.25769281495
Processing generation 274000; best fitness = 1.25781233738
Processing generation 275000; best fitness = 1.25788520285
Processing generation 276000; best fitness = 1.25795702855
Processing generation 277000; best fitness = 1.25799924504
Processing generation 278000; best fitness = 1.25820563255
Processing generation 279000; best fitness = 1.258219539
Processing generation 280000; best fitness = 1.25828804199
Processing generation 281000; best fitness = 1.25833433544
Processing generation 282000; best fitness = 1.25837901436
