Processing generation 243000; best fitness = 1.11285073157
Processing generation 244000; best fitness = 1.11285073157
Processing generation 245000; best fitness = 1.11285073157
Processing generation 246000; best fitness = 1.11285073157
Processing generation 247000; best fitness = 1.1130524306
Processing generation 248000; best fitness = 1.11337785631
Processing generation 249000; best fitness = 1.11337785631
Processing generation 250000; best fitness = 1.11337785631
Processing generation 251000; best fitness = 1.11352359374
Processing generation 252000; best fitness = 1.11352359374
Processing generation 253000; best fitness = 1.11352359374
Processing generation 254000; best fitness = 1.11354700328
Processing generation 255000; best fitness = 1.11354700328
Processing generation 256000; best fitness = 1.11354700328
Processing generation 257000; best fitness = 1.11354700328
Processing generation 258000; best fitness = 1.11438559071
Processing generation 259000; best fitness = 1.11438559071
Processing generation 260000; best fitness = 1.11441390682
Processing generation 261000; best fitness = 1.11441390682
Processing generation 262000; best fitness = 1.11441390682
Processing generation 263000; best fitness = 1.11441390682
Processing generation 264000; best fitness = 1.11441390682
Processing generation 265000; best fitness = 1.11441390682
Processing generation 266000; best fitness = 1.11443296705
Processing generation 267000; best fitness = 1.11443296705
Processing generation 268000; best fitness = 1.11445943089
Processing generation 269000; best fitness = 1.11445943089
Processing generation 270000; best fitness = 1.11445943089
Processing generation 271000; best fitness = 1.11445943089
Processing generation 272000; best fitness = 1.11445943089
Processing generation 273000; best fitness = 1.11445943089
Processing generation 274000; best fitness = 1.11484161779
Processing generation 275000; best fitness = 1.11484161779
Processing generation 276000; best fitness = 1.11484161779
Processing generation 277000; best fitness = 1.11485946122
Processing generation 278000; best fitness = 1.11485946122
Processing generation 279000; best fitness = 1.11485946122
Processing generation 280000; best fitness = 1.11485946122
Processing generation 281000; best fitness = 1.11517298808
Processing generation 282000; best fitness = 1.11517298808
Processing generation 283000; best fitness = 1.11518527029
Processing generation 284000; best fitness = 1.11560701555
Processing generation 285000; best fitness = 1.11605325943
Processing generation 286000; best fitness = 1.11625356898
Processing generation 287000; best fitness = 1.11673448659
Processing generation 288000; best fitness = 1.11691458026
Processing generation 289000; best fitness = 1.1173287977
Processing generation 290000; best fitness = 1.1173287977
Processing generation 291000; best fitness = 1.11752361614
Processing generation 292000; best fitness = 1.11753979596
Processing generation 293000; best fitness = 1.11760744649
Processing generation 294000; best fitness = 1.1176210146
Processing generation 295000; best fitness = 1.11763059642
Processing generation 296000; best fitness = 1.11763496529
Processing generation 297000; best fitness = 1.11781235287
Processing generation 298000; best fitness = 1.11782664089
Processing generation 299000; best fitness = 1.11786054773
Processing generation 300000; best fitness = 1.11802558876
Processing generation 301000; best fitness = 1.11802808662
Processing generation 302000; best fitness = 1.11802808662
Processing generation 303000; best fitness = 1.11802808662
Processing generation 304000; best fitness = 1.11802808662
Processing generation 305000; best fitness = 1.11803098896
Processing generation 306000; best fitness = 1.11804633635
Processing generation 307000; best fitness = 1.11804633635
Processing generation 308000; best fitness = 1.11805215022
Processing generation 309000; best fitness = 1.11805215022
Processing generation 310000; best fitness = 1.11807515168
Processing generation 311000; best fitness = 1.11807591843
Processing generation 312000; best fitness = 1.11807591843
Processing generation 313000; best fitness = 1.11807591843
Processing generation 314000; best fitness = 1.11807718595
Processing generation 315000; best fitness = 1.11808435989
Processing generation 316000; best fitness = 1.11808435989
