Processing generation 357000; best fitness = 0.719102108346
Processing generation 358000; best fitness = 0.719120988518
Processing generation 359000; best fitness = 0.719413172832
Processing generation 360000; best fitness = 0.719413172832
Processing generation 361000; best fitness = 0.719434976868
Processing generation 362000; best fitness = 0.719545178661
Processing generation 363000; best fitness = 0.719908784058
Processing generation 364000; best fitness = 0.719967475992
Processing generation 365000; best fitness = 0.720150975456
Processing generation 366000; best fitness = 0.720169420005
Processing generation 367000; best fitness = 0.7202702602
Processing generation 368000; best fitness = 0.720341708619
Processing generation 369000; best fitness = 0.720354401811
Processing generation 370000; best fitness = 0.720356078007
Processing generation 371000; best fitness = 0.720376363766
Processing generation 372000; best fitness = 0.720383578603
Processing generation 373000; best fitness = 0.720432615231
Processing generation 374000; best fitness = 0.720432615231
Processing generation 375000; best fitness = 0.720481945073
Processing generation 376000; best fitness = 0.720482737824
Processing generation 377000; best fitness = 0.720482737824
Processing generation 378000; best fitness = 0.720492695477
Processing generation 379000; best fitness = 0.720515104048
Processing generation 380000; best fitness = 0.720515373792
Processing generation 381000; best fitness = 0.720525406033
Processing generation 382000; best fitness = 0.72059633387
Processing generation 383000; best fitness = 0.720597812584
Processing generation 384000; best fitness = 0.720597812584
Processing generation 385000; best fitness = 0.720602870257
Processing generation 386000; best fitness = 0.720663800697
Processing generation 387000; best fitness = 0.720679624131
Processing generation 388000; best fitness = 0.720723489272
Processing generation 389000; best fitness = 0.720730806057
Processing generation 390000; best fitness = 0.720730806057
Processing generation 391000; best fitness = 0.720733019898
Processing generation 392000; best fitness = 0.720734250074
Processing generation 393000; best fitness = 0.720784013605
Processing generation 394000; best fitness = 0.720788708219
Processing generation 395000; best fitness = 0.720807237275
Processing generation 396000; best fitness = 0.720818927404
Processing generation 397000; best fitness = 0.720821830652
Processing generation 398000; best fitness = 0.720824495725
Processing generation 399000; best fitness = 0.720836769202
Processing generation 400000; best fitness = 0.720849568505
Processing generation 401000; best fitness = 0.720852445407
Processing generation 402000; best fitness = 0.720887206526
Processing generation 403000; best fitness = 0.721008770818
Processing generation 404000; best fitness = 0.721080776142
Processing generation 405000; best fitness = 0.721080776142
Processing generation 406000; best fitness = 0.721137057119
Processing generation 407000; best fitness = 0.72113836393
Processing generation 408000; best fitness = 0.72113836393
Processing generation 409000; best fitness = 0.721149451347
Processing generation 410000; best fitness = 0.721168009281
Processing generation 411000; best fitness = 0.72118699083
Processing generation 412000; best fitness = 0.721194265561
Processing generation 413000; best fitness = 0.721195731445
Processing generation 414000; best fitness = 0.721226594901
Processing generation 415000; best fitness = 0.721252520392
Processing generation 416000; best fitness = 0.721278254784
Processing generation 417000; best fitness = 0.721285300821
Processing generation 418000; best fitness = 0.721295660035
Processing generation 419000; best fitness = 0.721305831384
Processing generation 420000; best fitness = 0.721312882732
Processing generation 421000; best fitness = 0.721320785383
Processing generation 422000; best fitness = 0.721326393271
Processing generation 423000; best fitness = 0.721359026828
Processing generation 424000; best fitness = 0.721359533065
Processing generation 425000; best fitness = 0.721387908435
Processing generation 426000; best fitness = 0.721445075199
Processing generation 427000; best fitness = 0.721534141737
Processing generation 428000; best fitness = 0.721534582476
Processing generation 429000; best fitness = 0.721551165174
Processing generation 430000; best fitness = 0.721552797306
Processing generation 431000; best fitness = 0.721771353844
Processing generation 432000; best fitness = 0.721965710052
Processing generation 433000; best fitness = 0.722231878235
Processing generation 434000; best fitness = 0.722321442204
Processing generation 435000; best fitness = 0.722335443339
Processing generation 436000; best fitness = 0.722462933843
Processing generation 437000; best fitness = 0.722464835302
Processing generation 438000; best fitness = 0.722490590747
Processing generation 439000; best fitness = 0.722515722839
Processing generation 440000; best fitness = 0.722518140427
Processing generation 441000; best fitness = 0.722530115025
Processing generation 442000; best fitness = 0.722531668577
Processing generation 443000; best fitness = 0.722771523787
Processing generation 444000; best fitness = 0.722846728369
Processing generation 445000; best fitness = 0.722847125012
Processing generation 446000; best fitness = 0.722871583349
Processing generation 447000; best fitness = 0.722880475263
Processing generation 448000; best fitness = 0.722909352977
Processing generation 449000; best fitness = 0.722939945178
Processing generation 450000; best fitness = 0.722944589868
Processing generation 451000; best fitness = 0.722975271988
Processing generation 452000; best fitness = 0.72297787773
Processing generation 453000; best fitness = 0.723016635039
Processing generation 454000; best fitness = 0.723024960558
Processing generation 455000; best fitness = 0.723096854247
Processing generation 456000; best fitness = 0.723176208898
Processing generation 457000; best fitness = 0.723236571459
Processing generation 458000; best fitness = 0.723241325572
Processing generation 459000; best fitness = 0.723243942711
Processing generation 460000; best fitness = 0.723262843667
Processing generation 461000; best fitness = 0.723271715255
Processing generation 462000; best fitness = 0.723281886259
Processing generation 463000; best fitness = 0.723292366751
Processing generation 464000; best fitness = 0.723300241058
Processing generation 465000; best fitness = 0.723302061381
Processing generation 466000; best fitness = 0.723385193842
Processing generation 467000; best fitness = 0.723392534934
Processing generation 468000; best fitness = 0.723402868538
Processing generation 469000; best fitness = 0.723755930287
Processing generation 470000; best fitness = 0.723874006993
Processing generation 471000; best fitness = 0.723957540082
Processing generation 472000; best fitness = 0.723974291417
Processing generation 473000; best fitness = 0.724059845239
Processing generation 474000; best fitness = 0.724093611564
Processing generation 475000; best fitness = 0.724097681154
Processing generation 476000; best fitness = 0.724293076288
Processing generation 477000; best fitness = 0.724475286612
Processing generation 478000; best fitness = 0.724483640349
Processing generation 479000; best fitness = 0.724544984501
Processing generation 480000; best fitness = 0.724554854231
Processing generation 481000; best fitness = 0.72455711986
Processing generation 482000; best fitness = 0.724592995215
Processing generation 483000; best fitness = 0.724658274487
Processing generation 484000; best fitness = 0.724691254601
Processing generation 485000; best fitness = 0.724733334272
Processing generation 486000; best fitness = 0.724761606123
Processing generation 487000; best fitness = 0.724817197632
